dataset,folder_url,source_file,member_file,kind,path,types,occurrences,position,read_status,example
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[],object,1848,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].comments,string,1848,,plateau,Update message: Rebuilt NIL Set to incorporate new facilitie
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].constraintType,string,1847,,plateau,Network
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].contingency,string,1847,,plateau,KW-CC-MED 81
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].defaultRHS,number,1847,,plateau,9999.0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].description,string,1848,,plateau,Prior network configuration: NIL. Prevent thermal overload o
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].id,string,1848,,plateau,NIL > {KW-CC-MED 81} [RO-WAI 81 (RO~)]
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].isInterventionEvent,boolean,1847,,plateau,False
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide,array,1848,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide[],object,35181,,plateau,
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide[].coefficient,number,35181,,plateau,0.1664
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide[].index,number,35181,,plateau,0
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide[].term,string,35181,,plateau,ERRRF_WTE_G1.energy.setpoint
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].leftHandSide[].termType,string,35181,,plateau,SOLVER
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].limitAdviceId,string,1847,,plateau,Western Power Thermal Limit Advice
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].limitType,string,1847,,plateau,Thermal
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].monitoredElement,string,1847,,plateau,RO-WAI 81 (RO~)
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].operator,string,1848,,plateau,LessThanOrEqualTo
caseInputData,https://data.wa.aemo.com.au/public/market-data/wemde/caseInputData/current/,ReferenceDispatchCase_202608040800.json,,json,$.data.caseData[].constraints.constraintEquations[].required,boolean,1847,,plateau,True
